pred_remaining_heat_mean,remaining_heat,horizon_bucket,city
5.839815388011313,5.599999999999998,h5,DAL
0.282216355339052,0.0,h1,PAR
4.0903521691556355,3.0,h6,PAR
0.9746218037425662,0.6000000000000014,h2,SEA
2.768824995588266,1.9000000000000021,h5,TOR
0.4272417204193825,1.0,h1,ATL
1.878114555572562,2.0,h9,WLG
3.687835729881981,2.6999999999999993,h5,TOR
2.8014209298059076,1.6999999999999993,h3,NYC
3.1404810986463874,1.0,h5,DAL
1.6564309334836504,2.0,h3,PAR
1.0676466823519584,1.0,h1,SEL
3.7259097148558395,3.5,h9,LON
0.5808889975592509,1.0,h1,ATL
3.578064346872835,3.0,h3,WLG
2.9291081532807723,5.5,h4,NYC
2.2728627711209595,4.399999999999999,h5,NYC
10.894785694857871,8.0,h8,ATL
3.0607793615136383,1.0,h5,SEL
4.510319303904878,4.5,h9,MIA
10.013887964945534,8.8,h7,BUE
3.936830061746143,4.0,h6,SEL
1.3919814304618705,1.0,h1,PAR
1.5662933148613363,2.0,h1,PAR
2.6147946392805355,3.3000000000000007,h4,NYC
13.428709372314167,13.7,h9,BUE
13.269780045793208,12.899999999999999,h7,ANK
5.601740233925781,8.0,h6,PAR
3.2185627046920717,1.9000000000000021,h5,BUE
2.868054278983196,2.5,h4,ANK
0.31228653768340164,0.0,h1,TOR
0.970069096701181,0.0,h2,DAL
6.185703278047846,6.0,h6,PAR
9.557646411848038,9.500000000000004,h9,DAL
2.6608415220914345,1.5,h1,TOR
0.7049705812930653,0.0,h2,NYC
0.8448637081849244,0.0,h2,SEA
3.708639031584932,4.5,h5,MIA
4.135766210216141,5.0,h7,WLG
5.579203491741936,7.200000000000003,h7,NYC
0.7015056609025786,0.0,h2,SEA
4.486705422954112,5.0,h4,MIA
4.198724591797203,5.0,h9,NYC
0.38102821014876154,1.0,h1,PAR
1.6250820725028066,1.7000000000000028,h1,NYC
3.4838282245741263,2.0,h7,PAR
1.791996046752392,2.3000000000000007,h3,CHI
