feature,importance_mean,importance_std,horizon_bucket
wdir,0.04021786633569113,0.0,h5
delta_temp_16h,0.029820001517998795,0.0,h5
wspd,0.018863922077797746,0.0,h5
temp_roll_std_24h,0.0167895971507126,0.0,h5
delta_temp_21h,0.016306395535980123,0.0,h5
temp_lag_24h,0.016100273037990442,0.0,h5
delta_temp_15h,0.013285826721640692,0.0,h5
cldc,0.013117926299778704,0.0,h5
temp_roll_std_3h,0.012573347271309654,0.0,h5
hours_from_solar_peak,0.011939562943459325,0.0,h5
temp_lag_3h,0.011715955046855964,0.0,h5
temp,0.010070105114326822,0.0,h5
temp_lag_18h,0.009264912287233473,0.0,h5
temp_roll_std_6h,0.008442251942583079,0.0,h5
solar_elevation_deg,0.00755209012303748,0.0,h5
wpgt,0.007344431154828079,0.0,h5
doy_cos,0.007282139534479759,0.0,h5
doy_sin,0.0069192238979944864,0.0,h5
delta_temp_24h,0.006634574201841437,0.0,h5
coco,0.005683178581100901,0.0,h5
delta_temp_20h,0.005010540887560255,0.0,h5
delta_temp_19h,0.00479903269086801,0.0,h5
delta_temp_11h,0.0034380761316763486,0.0,h5
temp_lag_19h,0.0031239905327204998,0.0,h5
temp_roll_std_12h,0.002901574554235564,0.0,h5
temp_lag_7h,0.002769869495979016,0.0,h5
temp_lag_2h,0.002746608719334409,0.0,h5
temp_lag_4h,0.0021930374121568175,0.0,h5
delta_temp_3h,0.002151244333379765,0.0,h5
delta_pres_6h,0.0019731669911398075,0.0,h5
delta_temp_8h,0.001954681893813426,0.0,h5
delta_temp_22h,0.0018940054264842132,0.0,h5
delta_temp_9h,0.001784603716725952,0.0,h5
delta_temp_7h,0.001706146761813132,0.0,h5
yesterday_max_temp,0.0013081989487944146,0.0,h5
temp_lag_17h,0.0012042983719813272,0.0,h5
temp_roll_mean_3h,0.0011341780021070225,0.0,h5
temp_lag_23h,0.001083626944718974,0.0,h5
delta_temp_14h,0.0010758003884505651,0.0,h5
temp_roll_mean_6h,0.0010690452874118073,0.0,h5
temp_lag_16h,0.001062790060273544,0.0,h5
temp_lag_10h,0.001033279806373688,0.0,h5
delta_temp_5h,0.0009255316895511179,0.0,h5
delta_temp_12h,0.0009250048321503002,0.0,h5
delta_cldc_1h,0.0008271984299321744,0.0,h5
temp_lag_1h,0.0007266707771127479,0.0,h5
temp_lag_21h,0.0006969703135597527,0.0,h5
temp_roll_mean_12h,0.0006730632434126527,0.0,h5
delta_temp_23h,0.0006441656999958134,0.0,h5
temp_lag_11h,0.0006062760322680383,0.0,h5
temp_lag_20h,0.0005287572457992606,0.0,h5
delta_cldc_6h,0.0004932948834410755,0.0,h5
temp_lag_15h,0.0004927752578960387,0.0,h5
temp_lag_6h,0.00047931964772307545,0.0,h5
temp_lag_22h,0.000355189148579127,0.0,h5
delta_temp_10h,0.0003195749103896972,0.0,h5
delta_pres_3h,0.0003079095603850668,0.0,h5
prcp,0.00025180103266175813,0.0,h5
temp_lag_9h,0.00015259207947315723,0.0,h5
temp_lag_5h,0.00013070419991989546,0.0,h5
delta_temp_6h,0.00012978251137751862,0.0,h5
temp_roll_mean_24h,0.00011838141045905637,0.0,h5
delta_cldc_3h,6.14401157810196e-05,0.0,h5
temp_lag_12h,5.414397652225844e-05,0.0,h5
delta_temp_2h,9.759790550178948e-06,0.0,h5
is_coastal_airport,0.0,0.0,h5
is_us_airport,0.0,0.0,h5
is_raining,0.0,0.0,h5
is_daylight,0.0,0.0,h5
delta_temp_1h,0.0,0.0,h5
rain_12h_sum,-3.702516568959702e-05,0.0,h5
latitude,-6.220686037639034e-05,0.0,h5
rain_3h_sum,-0.00012250455842233166,0.0,h5
temp_lag_8h,-0.00014075509704469802,0.0,h5
temp_lag_13h,-0.00020173741325568706,0.0,h5
rain_24h_sum,-0.0002379999250952114,0.0,h5
delta_temp_13h,-0.0003071081210070936,0.0,h5
delta_temp_4h,-0.0005586795171059755,0.0,h5
temp_lag_14h,-0.0005698385876236056,0.0,h5
delta_pres_1h,-0.001087991597113147,0.0,h5
rain_6h_sum,-0.00123172434999419,0.0,h5
hours_since_rain,-0.0019244486352867352,0.0,h5
solar_heating_efficiency,-0.0019502429826774303,0.0,h5
longitude,-0.0026270692980321364,0.0,h5
temp_trend_1h,-0.005576233844842626,0.0,h5
pres,-0.009320162960608558,0.0,h5
city,0.1303611855917155,0.0,h4
solar_hour_angle_deg,0.0795354926048446,0.0,h4
delta_temp_18h,0.07755459627430861,0.0,h4
delta_temp_17h,0.07606918070414914,0.0,h4
delta_temp_19h,0.05700545149113456,0.0,h4
rhum,0.052787318881730605,0.0,h4
delta_temp_16h,0.046275402006027866,0.0,h4
wdir,0.02527536608023573,0.0,h4
wspd,0.024335890711279395,0.0,h4
hours_from_solar_peak,0.02195723847394504,0.0,h4
coco,0.021375306787922432,0.0,h4
cldc,0.01915245969812196,0.0,h4
delta_temp_15h,0.018324667690329033,0.0,h4
temp_roll_std_3h,0.018125464737889563,0.0,h4
solar_elevation_deg,0.014251165514414965,0.0,h4
temp_roll_std_24h,0.014166991425232034,0.0,h4
delta_temp_22h,0.013063250068275134,0.0,h4
delta_temp_20h,0.012938421986963822,0.0,h4
temp,0.010839026560924059,0.0,h4
delta_pres_6h,0.00620733487136238,0.0,h4
doy_cos,0.006031978566220619,0.0,h4
temp_trend_1h,0.005672129010453775,0.0,h4
temp_roll_std_12h,0.004989197621809716,0.0,h4
doy_sin,0.004909925864798992,0.0,h4
temp_lag_24h,0.004420296589199069,0.0,h4
temp_roll_std_6h,0.004291493581556893,0.0,h4
delta_temp_24h,0.004028426639289706,0.0,h4
temp_lag_8h,0.0038416968175893906,0.0,h4
delta_pres_1h,0.003572726828787398,0.0,h4
wpgt,0.0034212587058867205,0.0,h4
delta_temp_21h,0.003353241508491145,0.0,h4
delta_temp_2h,0.0030598453141391646,0.0,h4
delta_temp_11h,0.0029095040017041995,0.0,h4
temp_lag_1h,0.002906203522463513,0.0,h4
temp_lag_20h,0.0028525925111008155,0.0,h4
temp_roll_mean_3h,0.0025856196053439806,0.0,h4
temp_lag_9h,0.0024104463440348667,0.0,h4
delta_temp_3h,0.002333128404005347,0.0,h4
delta_temp_10h,0.0022026635831891017,0.0,h4
delta_temp_13h,0.002093187482655634,0.0,h4
temp_lag_10h,0.0020910807537803944,0.0,h4
delta_temp_12h,0.0019596944570989816,0.0,h4
pres,0.0017017375421038983,0.0,h4
delta_pres_3h,0.0016945458338888386,0.0,h4
temp_roll_mean_6h,0.0016360407696461854,0.0,h4
delta_temp_23h,0.0014514941660229708,0.0,h4
temp_lag_17h,0.0013868146639934853,0.0,h4
delta_temp_4h,0.0012773709032400937,0.0,h4
temp_lag_6h,0.0010905089680109947,0.0,h4
delta_temp_6h,0.0009449160784362753,0.0,h4
yesterday_max_temp,0.0008092914703147214,0.0,h4
temp_lag_18h,0.0007798821746637374,0.0,h4
delta_temp_14h,0.0007450982852287291,0.0,h4
temp_roll_mean_24h,0.0006409179523720887,0.0,h4
temp_lag_13h,0.0006365600053169773,0.0,h4
delta_cldc_1h,0.0004826173609832063,0.0,h4
prcp,0.0003772994759766446,0.0,h4
latitude,0.0003329668307952005,0.0,h4
temp_lag_2h,0.0003129563614867603,0.0,h4
